	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
A1BG	5.806241	12.961422	9.666709	4.113455	6.188632	1.960959	12.094593	7.588976	10.364671	5.476067	6.618494	13.718657	6.525684	4.854279	10.126461	16.121477	8.762958	5.276784	11.649673	3.240742	3.070385	4.216432
A1BG-AS1	16.845869	1.106083	2.116264	3.181219	5.405012	1.467871	4.962365	2.708796	5.649028	6.337168	11.950341	8.260530	5.096048	1.025888	2.064255	15.160954	2.480171	1.639458	11.982826	1.602046	1.856484	2.910778
A1CF	0.085594	0.015054	0.011644	0.042598	4.025151	0.263882	0.085556	0.056036	0.027136	0.028754	0.014582	0.030219	0.024585	0.047550	0.030208	0.013769	0.021935	0.007123	0.026817	0.109801	0.334571	0.161683
A2ML1	0.054976	0.101844	0.134028	0.043297	0.130865	0.421963	0.095607	0.921117	2.613070	0.097296	0.047265	3.916697	0.130809	0.142249	0.056247	0.218948	0.093535	0.089023	0.067791	0.184068	0.227802	0.330495
AAAS	107.771187	206.988373	164.463043	166.034958	190.648346	12.911786	116.585793	144.750061	215.348312	209.395416	266.107513	114.654396	217.039795	230.424835	227.034454	205.708649	227.453461	155.258743	186.562439	21.289459	16.037169	17.374186
AACS	30.596806	14.920867	45.104073	18.649399	14.927926	4.261360	15.042888	10.971752	6.275905	7.758458	17.599535	47.790436	32.136543	20.466932	37.073536	22.483727	11.586206	10.352036	17.546049	7.200523	7.152253	9.700979
AACSP1	5.910257	12.328834	1.856338	2.932435	20.103394	0.550874	0.566617	5.115288	5.562063	7.666652	7.137931	0.658779	6.377875	16.151655	6.088920	2.307819	5.484942	55.968491	9.649593	3.951920	3.206320	1.844760
AAED1	88.454063	97.931015	77.257103	72.334938	82.421997	4.557307	50.491722	100.411453	120.886696	92.603500	81.392326	85.065765	121.212067	73.055908	84.636406	102.702888	58.060677	105.586662	71.022530	13.054657	11.518091	12.660576
AAGAB	474.951752	559.892883	500.066101	480.078094	452.996460	8.468033	427.184753	560.753723	584.737671	596.664551	620.646606	492.063354	587.740234	422.010864	519.964417	480.874939	467.326630	604.915588	505.726746	32.688946	25.709915	30.008307
AAK1	51.351566	26.581741	66.445847	45.747200	49.803955	3.632174	34.608807	81.672211	59.267284	108.582108	88.541122	79.251343	48.787125	58.391823	56.319435	30.443531	13.941086	44.598518	74.185989	9.725214	8.341080	9.064692
AAMDC	76.899712	66.714272	74.305016	110.241135	89.844055	4.826848	68.705307	38.957909	58.163261	77.943611	111.563278	99.055443	74.495415	120.078423	104.080780	75.073174	49.130756	75.971954	77.415047	14.566513	11.930450	13.565886
