gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
A1BG	8	13	9	5	6	0	11	9	17	0	3	22	6	7	16	91	5	6	7	11	2	14
A1BG-AS1	23	0	2	4	0	0	0	0	9	5	5	13	5	0	0	85	0	2	7	1	3	1
A1CF	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	1	4	0	0	6	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	128	252	152	208	245	4	114	171	376	179	123	180	176	417	368	1333	143	170	128	58	121	339
AACS	44	0	46	24	16	0	14	13	11	6	8	80	30	30	63	138	7	0	11	38	12	22
AACSP1	8	13	0	0	21	0	0	5	0	0	3	1	0	0	0	0	3	67	0	0	0	1
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	131	112	79	96	88	0	50	113	206	76	34	140	114	110	148	611	34	126	43	88	56	126
AAGAB	782	823	646	628	527	0	429	788	1011	515	260	590	597	596	993	2753	283	761	304	814	262	776
AAK1	73	29	64	59	49	0	33	94	97	90	38	127	47	97	91	173	8	53	45	96	15	17
AAMDC	113	76	76	150	101	0	68	45	100	62	48	170	69	191	188	461	30	93	48	242	54	76
AAMP	88	109	98	102	103	1	106	83	211	89	81	137	143	136	172	644	95	199	92	139	35	96
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	48	2	31	69	183	0	37	63	91	75	48	149	146	107	58	210	35	87	35	201	35	112
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AARS	987	638	707	596	569	0	654	685	1310	531	545	1247	952	798	1212	4664	559	739	360	905	224	830
AARS2	27	0	22	36	28	0	10	5	3	25	13	56	20	4	2	129	15	32	9	0	3	6
AARSD1	98	38	61	34	90	0	109	72	108	88	26	81	151	66	69	583	66	142	120	136	40	128
AASDH	62	87	19	58	114	0	31	63	273	11	33	276	10	127	19	672	61	11	24	69	26	95
AASDHPPT	581	380	411	631	459	1	337	606	1063	507	176	1009	298	614	647	2216	244	469	359	599	324	841
AASS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AATBC	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1
AATF	415	183	348	256	255	1	310	319	397	362	253	481	386	409	244	1132	220	250	238	509	132	377
AATK	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	16	0	13	14	5	0	28	11	23	8	7	25	9	25	23	80	0	7	3	15	3	3
ABAT	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	14	0	0	0	0
ABCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCA11P	7	23	15	13	27	0	26	14	25	6	6	19	26	9	28	117	5	8	10	47	10	31
ABCA12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	1	0	0	0	3	0	0	0	6	0	0	0	0	3	2	0	0	0	0	5	3	2
ABCA2	6	0	6	8	0	0	0	4	6	1	3	0	15	0	2	31	0	0	0	0	0	3
ABCA3	40	0	18	29	9	0	5	7	21	4	4	1	23	19	2	35	0	63	7	0	2	7
ABCA4	1	0	13	8	0	0	0	5	4	0	4	1	0	0	0	2	0	1	0	1	1	1
